IDX,PeriodStart,PeriodEnd,Type,HeadquarteredCountries,AnnualRevenue,ReportingEntities,IncludedEntities,ABN,ACN,ARBN,Link,IndustrySectors,RelatedStatements
2023-2851,2022-07-01,2023-06-30,Joint,New Zealand,1BN+,The a2 Milk Company Limited,"A2 AUSTRALIAN INVESTMENTS PTY. LIMITED., A2 INFANT NUTRITION AUSTRALIA PTY LTD, a2 Infant Nutrition Limited, THE A2 MILK COMPANY (AUSTRALIA) PTY LTD",,"126014275, 161773913, 125331213","618864958, 158331965",https://modernslaveryregister.gov.au/statements/16042/,"Food and beverages, agriculture and fishing",2024-2875
2023-2801,2022-07-01,2023-06-30,Joint,Australia,1BN+,C S ENERGY LIMITED (54 078 848 745),"ABERDARE COLLIERIES PROPRIETARY LIMITED (64 009 659 367), CALLIDE ENERGY PTY. LTD. (86 082 468 746), CSE BESS PTY LTD (68 662 866 908), CSE H2 OPERATIONS PTY LTD (12 128 970 034), CSE H2 PTY LTD (74 659 177 385), CS ENERGY FINANCIAL SERVICES PTY LTD (73 095 322 508), CS ENERGY FINANCIAL SERVICES PTY LTD (73 095 322 508), CS ENERGY GROUP HOLDINGS PTY LTD (79 095 322 599), CS KOGAN (AUSTRALIA) PTY LTD (90 092 712 322), KOGAN CREEK POWER PTY LTD (57 088 229 789), KOGAN CREEK POWER STATION PTY LTD (82 088 229 832)","64009659367, 86082468746, 68662866908, 12128970034, 74659177385, 73095322508, 73095322508, 79095322599, 54078848745, 90092712322, 57088229789, 82088229832",,,https://modernslaveryregister.gov.au/statements/15974/,"Utilities: gas, water and electricity","2024-3078, 2022-2234, 2021-3600, 2021-767"
2023-2716,2022-01-01,2022-12-31,Joint,Australia,150-200M,ONCALL GROUP AUSTRALIA PTY LTD (27 633 010 330),"ABLECARE PTY. LTD. (37 075 026 112), ONCALL TRAINING COLLEGE PTY LTD (16 129 869 227), SAC (SA) PTY. LTD. (68 126 257 190)","37075026112, 27633010330, 16129869227, 68126257190",,,https://modernslaveryregister.gov.au/statements/15905/,Healthcare and pharmaceuticals,2024-3034
2023-2391,2022-07-01,2023-06-30,Single,Australia,150-200M,SETTLEMENT SERVICES INTERNATIONAL LIMITED (38 031 375 761),"ACCESS COMMUNITY ENTERPRISES LIMITED (79 108 738 629), Access Community Services Limited (45 149 783 639), BRISBANE MULTICULTURAL ARTS CENTRE LIMITED (80 964 149 832), MULTICULTURAL CENTRE FOR MENTAL HEALTH & WELL BEING INC (36 566 115 721)","79108738629, 45149783639, 80964149832, 36566115721, 38031375761",,,https://modernslaveryregister.gov.au/statements/15463/,Charitable / not-for-profit activities,"2024-2573, 2022-2068, 2021-3123, 2021-218"
2023-2709,2022-07-01,2023-06-30,Joint,Australia,0-99M,FINBAR GROUP LIMITED (97 009 113 473),"175 Adelaide Terrace Pty Ltd, 1 MENDS STREET PTY LTD, 239 GREAT EASTERN HIGHWAY PTY LTD, 241 RAILWAY PARADE PTY LTD, 2 HOMELEA COURT SPRINGS PTY LTD, 31 ROWE AVENUE PTY LTD, 32 RIVERSDALE ROAD PTY LTD, 36 Chester Avenue Pty Ltd, 43 MCGREGOR ROAD PTY LTD, 5-7 HARPER TERRACE PTY LTD, 63 ADELAIDE TERRACE PTY LTD, 88 TERRACE ROAD PTY LTD, FINBAR APPLECROSS PTY LTD, FINBAR COMMERCIAL PTY LTD, FINBAR EXECUTIVE RENTALS PTY LTD, Finbar Finance Pty Ltd, FINBAR FUND PTY LTD, Finbar Karratha Pty Ltd, FINBAR PORT HEDLAND PTY LTD, FINBAR PROJECT MANAGEMENT PTY LTD, FINBAR SALES PTY LTD, FINBAR SUB 104 PTY LTD, FINBAR TO RENT PTY LTD, Lot 1 to 10 Whatley Crescent Pty Ltd",97009113473,"120144934, 600082111, 166919508, 165413016, 166992123, 162808951, 608160354, 147167084, 167107075, 600071056, 600029070, 123678491, 613769734, 637052861, 630981225, 124752647, 600378783, 142784192, 159884652, 111730208, 640562778, 608161057, 629248282, 112308933",,https://modernslaveryregister.gov.au/statements/15896/,"Construction, civil engineering and building products
Financial, insurance and real estate activities","2024-2536, 2022-2513, 2021-3708"
2023-2693,2022-07-01,2023-06-30,Joint,Australia,350-400M,BALMORAL PASTORAL PTY. LTD.,"21st Century Resorts Holdings Pty Limited, BALMORAL PASTORAL INVESTMENTS PTY. LTD., HAMILTON ISLAND ENTERPRISES LIMITED",,"104201014, 002238995, 001202606, 009946909",,https://modernslaveryregister.gov.au/statements/15871/,"Food and beverages, agriculture and fishing
Consumer services, including accommodation, hospitality, tourism and leisure",2024-3176
2023-2787,2022-07-01,2023-06-30,Joint,Australia,1BN+,"ACTION DRILL & BLAST PTY LTD, DIAB ENGINEERING PTY LTD, GOLDING CONTRACTORS PTY LTD, NRW HOLDINGS LIMITED, NRW PTY LTD, PRIMERO GROUP LIMITED, RCR MINING TECHNOLOGIES PTY LTD",,,"144682413, 611036689, 009734794, 118300217, 067272119, 149964045, 107724274",,https://modernslaveryregister.gov.au/statements/15835/,"Mining, metals, chemicals and resources (including oil and gas)
Automotive, machinery and heavy electrical equipment
Construction, civil engineering and building products",2024-2214
2023-2657,2022-07-01,2023-06-30,Joint,Australia,100-150M,WAM LEADERS LIMITED (33 611 053 751),"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED (17 608 552 496), CENTURY AUSTRALIA INVESTMENTS PTY LIMITED (11 107 772 761)","17608552496, 11107772761, 33611053751",,,https://modernslaveryregister.gov.au/statements/15808/,"Financial, insurance and real estate activities","2022-2260, 2021-3474, 2021-1078"
2023-2651,2022-07-01,2023-06-30,Joint,Australia,200-250M,WAM CAPITAL LIMITED (34 086 587 395),"A.C.N. 113 332 942 LIMITED, A.C.N. 126 450 271 LIMITED, CONCENTRATED LEADERS FUND PTY LIMITED (25 003 236 173), ERAMU PTY. LTD., PM CAPITAL ASIAN OPPORTUNITIES FUND LIMITED (15 168 666 171), TUCANA PROPRIETARY LIMITED (44 007 599 895), WEALTH DEFENDER EQUITIES PTY LIMITED","25003236173, 15168666171, 44007599895, 34086587395","113332942, 126450271, 007772910, 602517528",,https://modernslaveryregister.gov.au/statements/15802/,"Financial, insurance and real estate activities","2022-2252, 2021-3464, 2021-1073"
2023-2773,2022-07-01,2023-06-30,Joint,Australia,100-150M,A2B AUSTRALIA LIMITED (99 001 958 390),"135466 PTY LTD (16 118 824 418), 13CABS INNOVATIONS PTY LTD (38 628 957 317), A2B CORPORATE SERVICES PTY LTD (76 092 193 998), ABC RADIO TAXI PTY LTD (64 108 333 044), ACCESS COMMUNICATIONS NET PROPRIETARY LIMITED (34 100 768 394), ARROW TAXI SERVICES LIMITED (37 004 516 027), Black Cabs Combined Car Sales Pty Ltd (63 128 691 234), BLACK CABS COMBINED PTY LTD (80 007 321 682), CABCHARGE PAYMENTS PTY LTD (22 615 032 427), CHAMP AUSTRALIA PTY LTD (23 632 787 734), CHAMP NSW PTY LTD (75 632 816 285), CHAMP VICTORIA PTY LTD (29 632 818 903), CHAMP WA PTY LTD (22 633 085 793), COMBINED COMMUNICATIONS NETWORK PTY LTD (96 080 990 978), EFT SOLUTIONS PTY LTD (53 130 836 047), GO TAXIS PTY LTD (72 138 555 076), MAXI TAXI (AUSTRALIA) PTY LTD (73 010 942 793), MOBILE TECHNOLOGIES DEVELOPMENTS PTY LTD (93 619 099 400), MOBILE TECHNOLOGIES INTERNATIONAL PTY. LTD. (71 152 207 157), NEWCASTLE TAXIS PTY LTD (17 121 237 385), NORTH SUBURBAN TAXIS (VIC) PTY LTD (82 094 945 105), SILVER SERVICE TAXIS PTY LTD (92 078 364 066), SOUTH WESTERN CABS (RADIO ROOM) PTY. LIMITED (91 003 897 505), TAXIPROP PTY LTD (59 161 447 605), TAXIS COMBINED SERVICES PTY LTD (11 001 235 847), TAXITECH PROPRIETARY LIMITED (77 105 989 928), TIGER TAXIS NSW PTY LTD (58 631 143 041), TIGER TAXIS OPERATIONS PTY LTD (47 631 139 896), TIGER TAXIS PTY. LTD. (47 620 374 996), TIGER TAXIS QUEENSLAND PTY LTD (94 631 140 826), YELLOW CABS AUSTRALIA PTY. LTD. (45 620 658 871), Yellow Cabs (Queensland) Holdings Pty Ltd, Yellow Cabs South Australia Pty Ltd (86 156 490 532), YELLOW CABS VICTORIA PTY LIMITED (65 094 945 098)","16118824418, 38628957317, 99001958390, 76092193998, 64108333044, 34100768394, 37004516027, 63128691234, 80007321682, 22615032427, 23632787734, 75632816285, 29632818903, 22633085793, 96080990978, 53130836047, 72138555076, 73010942793, 93619099400, 71152207157, 17121237385, 82094945105, 92078364066, 91003897505, 59161447605, 11001235847, 77105989928, 58631143041, 47631139896, 47620374996, 94631140826, 45620658871, 86156490532, 65094945098",618807588,,https://modernslaveryregister.gov.au/statements/15768/,"Transportation, logistics, and storage","2022-2721, 2021-3599, 2021-853"
2023-2605,2022-07-01,2023-06-30,Joint,Australia,100-150M,COMMUNITY HOUSING LIMITED (11 062 802 797),"ABORIGINAL COMMUNITY HOUSING LTD. (23 165 108 654), ABORIGINAL COMMUNITY HOUSING (VIC) LTD (62 653 394 293), AUSTRALIAN AFFORDABLE HOUSING SECURITIES LIMITED (75 605 381 137), BUILDING COMMUNITIES (VIC) LIMITED (95 640 883 101), BUILDING EVEN BETTER COMMUNITIES LIMITED (95 664 397 924), COMMUNITY HOUSING (CAIRNS) LIMITED (31 667 305 099), COMMUNITY HOUSING PATHWAYS LIMITED (37 664 403 258), COMMUNITY HOUSING (QLD) LTD (57 061 035 050), COMMUNITY HOUSING (TAS) LTD (54 147 539 526), Community Housing (Vic) Ltd (75 112 324 384), HORIZON HOUSING REALTY LIMITED (22 623 498 644)","23165108654, 62653394293, 75605381137, 95640883101, 95664397924, 31667305099, 11062802797, 37664403258, 57061035050, 54147539526, 75112324384, 22623498644",,,https://modernslaveryregister.gov.au/statements/15754/,Charitable / not-for-profit activities,"2024-2769, 2022-2155, 2021-3632, 2021-1526"
2023-2581,2022-07-01,2023-06-30,Single,Australia,1BN+,ACCENT GROUP LIMITED (85 108 096 251),,85108096251,,,https://modernslaveryregister.gov.au/statements/15724/,"Fashion, textiles, apparel and luxury goods","2024-2664, 2022-2082, 2021-3140, 2020-281"
2023-2577,2022-07-01,2023-06-30,Joint,Australia,400-450M,"ACCESS CARE NETWORK AUSTRALIA PTY LTD (39 601 017 430), ROYAL DISTRICT NURSING SERVICE OF SA LIMITED (21 588 603 824), SILVERCHAIN FOUNDATION LTD (85 077 086 670), SILVER CHAIN GROUP LIMITED (77 119 417 018), SILVER CHAIN - VICTORIA LIMITED (26 649 647 914)",,"39601017430, 21588603824, 85077086670, 77119417018, 26649647914",,,https://modernslaveryregister.gov.au/statements/15718/,Charitable / not-for-profit activities,"2024-3534, 2022-2230, 2021-3331, 2021-722"
2023-2542,2022-07-01,2023-06-30,Joint,Australia,1BN+,"AAI LIMITED (48 005 297 807), SBGH LIMITED (83 145 980 838), Suncorp Group Limited (66 145 290 124), SUNCORP INSURANCE (GENERAL OVERSEAS) PTY LTD (49 102 606 708), Suncorp Insurance Holdings Limited (99 123 023 334), SUNCORP INSURANCE (LIFE OVERSEAS) PTY LTD (66 114 577 418), SUNCORP LIFE HOLDINGS LIMITED (87 064 490 795), SUNCORP-METWAY LIMITED (66 010 831 722)",,"48005297807, 83145980838, 66145290124, 49102606708, 99123023334, 66114577418, 87064490795, 66010831722",,,https://modernslaveryregister.gov.au/statements/15660/,"Financial, insurance and real estate activities","2025-373, 2024-3181, 2022-2199, 2021-3151, 2021-168"
2023-2535,2022-07-01,2023-06-30,Joint,Australia,1BN+,BEGA CHEESE LIMITED (81 008 358 503),"180 Nutrition Pty Ltd (78 154 169 089), BDD AUSTRALIA PTY LTD (68 083 019 390), BDD FOODS PTY LTD (49 002 400 339), BDD MILK PTY LTD (63 051 195 272), Bega Cheese Benefit Fund Limited (25 093 707 110), BEGA CHEESE INVESTMENTS PTY LIMITED (62 124 626 633), BEGA DAIRY AND DRINKS FINANCE PTY LTD (70 051 078 285), Bega Dairy and Drinks (NZ) Ltd, BEGA DAIRY AND DRINKS PTY LTD (65 004 486 631), BEGA DAIRY AND DRINKS SERVICES PTY LTD (63 080 706 887), Bega Insurance Pte Ltd, Berri Asia Sdn Bhd, BERRI PTY LIMITED (71 008 077 889), BLOWFLEX MOULDINGS PTY LTD (71 087 884 302), CAPITOL CHILLED FOODS (AUSTRALIA) PTY. LIMITED (14 074 590 757), Dairy and Drinks Singapore Pte Ltd, DAIRY FARMERS PTY LIMITED (65 010 308 068), Dairy Vale Foods Limited (65 065 923 597), MALANDA DAIRYFOODS PTY LIMITED (74 068 031 550), NATIONAL FOODS BEVERAGES HOLDINGS LIMITED (51 051 195 218), NATIONAL FOODS HOLDINGS LIMITED (15 051 195 067), PEANUT COMPANY OF AUSTRALIA PTY LTD (34 057 251 091), QUD PTY LTD (16 056 658 176), Shanghai Great Lion Food & Beverages Management Co Ltd, Tatura Cheese Industries Pty Ltd, TATURA MILK INDUSTRIES PTY LTD (66 006 603 970)","78154169089, 68083019390, 49002400339, 63051195272, 25093707110, 62124626633, 81008358503, 70051078285, 65004486631, 63080706887, 71008077889, 71087884302, 14074590757, 65010308068, 65065923597, 74068031550, 51051195218, 15051195067, 34057251091, 16056658176, 66006603970",005646104,,https://modernslaveryregister.gov.au/statements/15607/,"Food and beverages, agriculture and fishing","2024-2842, 2022-2666, 2021-3095, 2021-426"
